车次,,始发站-终点站,到站时间,查询站,开车时间,全程（时间）
C2053,,北京南站 - 天津站,始发站,北京站,15:08,120公里（30分）
G35,,北京南站 - 杭州东站,始发站,北京站,15:10,1279公里（5小时45分）
C2213,,北京南站 - 天津站,始发站,北京站,15:13,120公里（37分）
G349,,北京西站 - 成都东站,始发站,北京站,15:13,1874公里（7小时45分）
D27,,北京站 - 哈尔滨西站,始发站,北京站,15:15,1241公里（7小时35分）
G161,,北京南站 - 安庆站,始发站,北京站,15:15,1257公里（6小时40分）
G399,,北京南站 - 长春西站,始发站,北京站,15:20,1093公里（5小时45分）
G521,,北京西站 - 汉口站,始发站,北京站,15:23,1233公里（6小时5分）
G45,,北京南站 - 江山站,始发站,北京站,15:25,1548公里（7小时45分）
C2055,,北京南站 - 天津站,始发站,北京站,15:25,120公里（30分）
D2005,,北京西站 - 临汾西站,始发站,北京站,15:29,746公里（5小时15分）
C2631,,北京南站 - 天津西站,始发站,北京站,15:30,117公里（32分）
G351,,北京南站 - 黄山北站,始发站,北京站,15:30,1306公里（6小时31分）
D23,,北京站 - 长春西站,始发站,北京站,15:33,1001公里（6小时37分）
G475,,北京南站 - 荣成站,始发站,北京站,15:35,1063公里（6小时48分）
C2629,,北京南站 - 天津西站,始发站,北京站,15:35,117公里（32分）
G378/G379,,北京南站 - 大连北站,始发站,北京站,15:40,963公里（4小时57分）
G505,,北京西站 - 长沙南站,始发站,北京站,15:40,1591公里（6小时52分）
C2215,,北京南站 - 天津站,始发站,北京站,15:43,120公里（37分）
G155,,北京南站 - 嘉兴南站,始发站,北京站,15:45,1402公里（6小时42分）
